"","Label","OBO Ontology ID","Markers"
"35","Outer Medullary Collecting Duct Principal","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","GRIP1,AC019197.1,BMPR1B,TRPM3,PIK3C2G,EYA4,PRKAG2,TMTC2,C11orf80,MPPED2"
"36","Papillary Tip Epithelial","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","SEMA5A,HMGCS2,KRT13,ALDH1L1,EEF1A1,S100A6,RPL41,KRT19,RPL13,LINC00511"
"37","Parietal Epithelial","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","ALDH1A2,LINC01435,RBFOX1,FRMD4A,RHEX,OSBPL10,NRG3,SLIT3,TSHZ2,TENM3"
"38","Peritubular Capilary Endothelial ","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","LDB2,PTPRM,PTPRB,PLPP1,FLT1,ST6GALNAC3,HSPG2,PITPNC1,RASAL2,MEIS2"
"39","Plasma","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","RAB30,XBP1,MEI1,TENT5C,IFNG-AS1,IGKC,POU2AF1,ZNF215,HSH2D,IGHG3"
"40","Plasmacytoid Dendritic","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","AC023590.1,BCL11A,CUX2,P2RY14,IRF8,LINC01478,FAM129C,SMPD3,CLEC4C,PTCRA"
"41","Podocyte","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","MAGI2,PTPRO,PTPRQ,PLA2R1,ST6GALNAC3,NPAS3,NEBL,DPP6,CLIC5,NTNG1"
"42","Proximal Tubule Epithelial Segment 1","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","ACSM2A,CUBN,ACSM2B,RAB11FIP3,PTH2R,PTH1R,PDZD2,SLC4A4,SLC13A3,GPX3"
"43","Proximal Tubule Epithelial Segment 2","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","ACSM2A,CUBN,ACSM2B,RAB11FIP3,PDZD2,SLC13A3,LRP2,SLC5A12,TRPM3,PTH2R"
"44","Proximal Tubule Epithelial Segment 3","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","CUBN,LRP2,ACSM2A,SYNE2,ANKS1B,ACSM2B,FGGY,RAB11FIP3,PKHD1,TRPM3"
"45","Renin-positive Juxtaglomerular Granular","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","REN,COL13A1,ABCC8,MYH7,GRID2,PCSK2,AC114316.2,AC079035.1,AC004233.4,SPOCK3"
"46","Schwann / Neural","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","NRXN1,CADM2,XKR4,NCAM1,GRIK2,CDH19,SCN7A,KIRREL3,ZNF536,NLGN4X"
"47","T","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","CELF2,ANKRD44,CCND3,ARHGAP15,CHST11,PARP8,PRKCH,FYN,SKAP1,ETS1"
"48","Tissue-resident Macrophage","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","MRC1,FMN1,F13A1,SLC9A9,TBXAS1,CD163,ELMO1,FCHSD2,LDLRAD4,SLC1A3"
"49","Vascular Smooth Muscle / Pericyte","[type I pneumocyte](http://www.ontobee.org/ontology/CL?iri=http://purl.obolibrary.org/obo/CL_0002062)","SLIT3,DLC1,CACNA1C,PRKG1,CALD1,INPP4B,EBF1,EPS8,ARHGAP10,ADGRB3"
